,Aphelios,Ashe,Caitlyn,Cassiopeia,Draven,Ezreal,Jhin,Jinx,Kai'Sa,Kalista,Kog'Maw,Lucian,Miss Fortune,Samira,Senna,Sivir,Swain,Tristana,Twitch,Varus,Vayne,Xayah,Yasuo
Aphelios,,45.5%,49.15%,38.18%,46.18%,46.18%,43.96%,44.83%,46.42%,46.77%,53.59%,48.7%,42.46%,46.62%,50.59%,47.1%,40%,45.78%,48.22%,45.1%,45.89%,50.55%,48.61%
Ashe,54.5%,,51.53%,51.69%,50.54%,50.09%,48.01%,51.31%,49.92%,52.58%,52.52%,52.39%,47.3%,50.73%,51.93%,50.51%,44.28%,47.42%,55.81%,52.81%,49.92%,53.83%,55.59%
Caitlyn,50.85%,48.47%,,52.46%,45.97%,47.42%,44.83%,47.59%,47.84%,47.16%,46.92%,50.45%,45.94%,48.67%,50.04%,50.44%,40.49%,47.17%,53.22%,49.33%,49.64%,49.24%,55.26%
Cassiopeia,61.82%,48.31%,47.54%,,53.7%,48.77%,46.48%,47.76%,52.64%,,,47.94%,47.42%,51.84%,52.31%,,46.91%,53.73%,,50%,53.69%,,67.16%
Draven,53.82%,49.46%,54.03%,46.3%,,51.73%,48.3%,51.03%,51.12%,44.55%,54.76%,50.51%,48.25%,47.88%,51.94%,58.16%,38.7%,51.87%,55.47%,48.82%,51.01%,52.61%,53.51%
Ezreal,53.82%,49.91%,52.58%,51.23%,48.27%,,46.63%,51.51%,48.31%,48.34%,53.42%,52.23%,47.15%,48.34%,50.83%,51.29%,47.64%,47.4%,53.42%,50.87%,48.81%,55.22%,54.29%
Jhin,56.04%,51.99%,55.17%,53.52%,51.7%,53.37%,,54.12%,51.29%,52.74%,54%,54.07%,50.59%,51.94%,54.72%,53.36%,48.07%,49.87%,56.39%,54.41%,52.34%,57.2%,57.15%
Jinx,55.17%,48.69%,52.41%,52.24%,48.97%,48.49%,45.88%,,48.54%,50.77%,48.06%,51.54%,46.24%,48.52%,51.76%,51.76%,41.67%,49.07%,54.58%,51.54%,47.86%,58.06%,52.82%
Kai'Sa,53.58%,50.08%,52.16%,47.36%,48.88%,51.69%,48.71%,51.46%,,50.82%,49.88%,52.27%,47.2%,48.73%,52.63%,53.71%,43.28%,51.04%,55.65%,51.98%,50.35%,52.65%,56.74%
Kalista,53.23%,47.42%,52.84%,,55.45%,51.66%,47.26%,49.23%,49.18%,,48.42%,50.76%,43.34%,49.71%,52.94%,54.55%,46.44%,45.45%,62.59%,51.64%,49.55%,50.3%,57.81%
Kog'Maw,46.41%,47.48%,53.08%,,45.24%,46.58%,46%,51.94%,50.12%,51.58%,,54.54%,46.9%,50%,53.59%,51.85%,51.92%,47.88%,49.48%,50.89%,48.64%,56.38%,52.1%
Lucian,51.3%,47.61%,49.55%,52.06%,49.49%,47.77%,45.93%,48.46%,47.73%,49.24%,45.46%,,44.54%,49.57%,47.89%,49.53%,43.99%,46.8%,53.86%,50.44%,48.6%,50.24%,54.29%
Miss Fortune,57.54%,52.7%,54.06%,52.58%,51.75%,52.85%,49.41%,53.76%,52.8%,56.66%,53.1%,55.46%,,52.72%,53.33%,54.93%,49.49%,50.98%,56.57%,54.07%,54.5%,56.48%,57.6%
Samira,53.38%,49.27%,51.33%,48.16%,52.12%,51.66%,48.06%,51.48%,51.27%,50.29%,50%,50.43%,47.28%,,50.49%,54.07%,44.1%,50.01%,56.14%,52.77%,51.22%,53.53%,57.46%
Senna,49.41%,48.07%,49.96%,47.69%,48.06%,49.17%,45.28%,48.24%,47.37%,47.06%,46.41%,52.11%,46.67%,49.51%,,43.17%,43.93%,47.28%,54.72%,51.99%,51.71%,53.47%,54.15%
Sivir,52.9%,49.49%,49.56%,,41.84%,48.71%,46.64%,48.24%,46.29%,45.45%,48.15%,50.47%,45.07%,45.93%,56.83%,,41.72%,47.1%,55.56%,55.21%,47.29%,49.47%,52.88%
Swain,60%,55.72%,59.51%,53.09%,61.3%,52.36%,51.93%,58.33%,56.72%,53.56%,48.08%,56.01%,50.51%,55.9%,56.07%,58.28%,,52.51%,67.21%,55.61%,54.42%,59.27%,65.24%
Tristana,54.22%,52.58%,52.83%,46.27%,48.13%,52.6%,50.13%,50.93%,48.96%,54.55%,52.12%,53.2%,49.02%,49.99%,52.72%,52.9%,47.49%,,59.75%,56.98%,52.16%,54.24%,55.96%
Twitch,51.78%,44.19%,46.78%,,44.53%,46.58%,43.61%,45.42%,44.35%,37.41%,50.52%,46.14%,43.43%,43.86%,45.28%,44.44%,32.79%,40.25%,,45.76%,44.6%,44.7%,53.41%
Varus,54.9%,47.19%,50.67%,50%,51.18%,49.13%,45.59%,48.46%,48.02%,48.36%,49.11%,49.56%,45.93%,47.23%,48.01%,44.79%,44.39%,43.02%,54.24%,,48.35%,57.34%,55.03%
Vayne,54.11%,50.08%,50.36%,46.31%,48.99%,51.19%,47.66%,52.14%,49.65%,50.45%,51.36%,51.4%,45.5%,48.78%,48.29%,52.71%,45.58%,47.84%,55.4%,51.65%,,52.68%,59.23%
Xayah,49.45%,46.17%,50.76%,,47.39%,44.78%,42.8%,41.94%,47.35%,49.7%,43.62%,49.76%,43.52%,46.47%,46.53%,50.53%,40.73%,45.76%,55.3%,42.66%,47.32%,,56.82%
Yasuo,51.39%,44.41%,44.74%,32.84%,46.49%,45.71%,42.85%,47.18%,43.26%,42.19%,47.9%,45.71%,42.4%,42.54%,45.85%,47.12%,34.76%,44.04%,46.59%,44.97%,40.77%,43.18%,
